,Resident,Work,percent,Number
318,NC,CT,0.006676656,68677
319,MO,CT,0.003094482,18900
320,IN,CT,0.003998632,26747
321,AL,CT,0.002881579,14045
322,LA,CT,0.003332868,15478
323,SD,CT,0.001891265,1662
324,WA,CT,0.002136198,15986
325,AK,CT,0.004270177,3066
326,MA,CT,0.038639236,266503
327,CO,CT,0.005971883,33798
328,MT,CT,0.004233318,4482
329,NE,CT,0.002779484,5344
330,PA,DE,0.012619289,161536
331,MA,DE,0.002186681,15082
332,NY,DE,0.003654918,71334
333,SC,DE,0.001691067,8528
334,FL,DE,0.002317951,49212
335,OK,DE,0.002931184,11500
336,MO,DE,0.001483551,9061
337,AK,DE,0.003610013,2592
338,WV,DE,0.002140885,3864
339,CA,DE,0.000214741,8461
340,NE,DE,0.002331147,4482
341,IL,DE,0.000803485,10215
342,NV,DE,0.000295016,892
343,DE,DE,0.034199599,32960
344,HI,DE,0.00325915,4482
345,MI,DE,0.001196432,11955
346,TX,DE,0.000236432,6759
347,AR,DE,0.001284333,3864
348,DC,DE,0.007652871,5344
349,ME,DE,0.007150144,9560
350,UT,DE,0.001804662,5696
351,IN,DE,0.000133353,892
352,KS,DE,0.001229934,3553
353,OH,DE,0.000980765,11456
354,NJ,DE,0.010276148,91449
355,OR,DE,0.00118787,4975
356,AZ,DE,0.000232382,1662
357,MN,DE,0.000847917,4756
358,KY,DE,0.001348703,6004
359,TN,DE,0.000414559,2798
360,VA,DE,0.006123195,51445
361,NC,DE,0.003700612,38065
362,RI,DE,0.001376224,1449
363,MS,DE,0.002445325,7270
364,GA,DE,0.001049622,10975
365,MD,DE,0.030290588,181999
366,NH,DE,0.007215432,9778
367,WA,DE,0.000176792,1323
368,CT,DE,0.001247421,4448
369,WI,DE,0.000798554,4640
370,CA,DC,0.001776275,69987
371,DC,DC,0.004144351,2894
372,AK,DC,0.010380179,7453
373,WI,DC,0.006087772,35373
374,WY,DC,0.002301886,1323
375,MS,DC,0.007966983,23686
376,WV,DC,0.020067473,36219
377,NH,DC,0.007243473,9816
378,MI,DC,0.004662333,46587
379,OH,DC,0.003618282,42264
380,KS,DC,0.001992542,5756
381,LA,DC,0.002448725,11372
382,KY,DC,0.004819526,21455
383,TN,DC,0.003655764,24674
384,VT,DC,0.023163456,14494
385,SD,DC,0.01347327,11840
386,IN,DC,0.004071438,27234
387,MA,DC,0.006388523,44063
388,MN,DC,0.007559046,42399
389,CT,DC,0.003549878,12658
390,NE,DC,0.000907597,1745
391,ID,DC,0.005459053,9557
392,ND,DC,0.019095447,14377
393,OK,DC,0.002260835,8870
394,NC,DC,0.010838082,111482
395,IA,DC,0.001034446,3263
396,DE,DC,0.011285037,10876
397,GA,DC,0.004870342,50925
398,NV,DC,0.002984888,9025
399,HI,DC,0.001927713,2651
400,PA,DC,0.008824815,112964
401,MT,DC,0.00183236,1940
402,AZ,DC,0.001041664,7450
403,NY,DC,0.003917199,76453
404,NM,DC,0.004231265,8817
405,NJ,DC,0.008795557,78273
406,TX,DC,0.00180453,51587
407,AR,DC,0.002639463,7941
408,MO,DC,0.003807687,23256
409,ME,DC,0.010326573,13807
410,AL,DC,0.002659998,12965
411,RI,DC,0.013484905,14198
412,VA,DC,0.029673779,249309
413,CO,DC,0.007373592,41731
414,SC,DC,0.005972275,30118
415,UT,DC,0.002368619,7476
416,IL,DC,0.002922437,37154
417,MD,DC,0.014156434,85058
418,OR,DC,0.002771379,11607
419,WA,DC,0.004792349,35863
420,FL,DC,0.003541596,75191
421,WA,FL,0.011202949,83836
422,SC,FL,0.046296537,233472
423,RI,FL,0.036361184,38284
424,MA,FL,0.01932491,133288
425,MN,FL,0.026144755,146647
426,HI,FL,0.015049393,20696
427,KY,FL,0.039032653,173761
428,VT,FL,0.02667617,16692
429,CA,FL,0.006808662,268268
430,DE,FL,0.021333245,20560
431,NC,FL,0.052652517,541591
432,GA,FL,0.096561017,1009656
433,ME,FL,0.073149115,97803
434,DC,FL,0.013064585,9123
435,IA,FL,0.015591514,49181
436,TN,FL,0.03872259,261352
437,PA,FL,0.029496464,377576
438,IL,FL,0.018257487,232114
439,NM,FL,0.022451091,46783
440,NY,FL,0.019738986,385251
441,MS,FL,0.031517111,93701
442,MT,FL,0.007486229,7926
443,AK,FL,0.007224204,5187
444,CT,FL,0.020578525,73378
445,VA,FL,0.027418153,230358
446,WY,FL,0.001832114,1053
447,NE,FL,0.00501649,9645
