REGION,SEX,agebins,POPEST2018_CIV
Kentucky,2,31-40,277178
Kentucky,2,41-50,278717
Kentucky,2,51-60,309927
Kentucky,2,61-70,272752
Kentucky,2,71+,253827
Kentucky,2,Total,2264178
Louisiana,0,10-Jan,671385
Louisiana,0,20-Nov,597718
Louisiana,0,21-30,651668
Louisiana,0,31-40,624147
Louisiana,0,41-50,541332
Louisiana,0,51-60,606060
Louisiana,0,61-70,519843
Louisiana,0,71+,431896
Louisiana,0,Total,4644049
Louisiana,1,10-Jan,341784
Louisiana,1,20-Nov,304230
Louisiana,1,21-30,325460
Louisiana,1,31-40,307615
Louisiana,1,41-50,264619
Louisiana,1,51-60,291658
Louisiana,1,61-70,244415
Louisiana,1,71+,181518
Louisiana,1,Total,2261299
Louisiana,2,10-Jan,329601
Louisiana,2,20-Nov,293488
Louisiana,2,21-30,326208
Louisiana,2,31-40,316532
Louisiana,2,41-50,276713
Louisiana,2,51-60,314402
Louisiana,2,61-70,275428
Louisiana,2,71+,250378
Louisiana,2,Total,2382750
Maine,0,10-Jan,146195
Maine,0,20-Nov,151598
Maine,0,21-30,155909
Maine,0,31-40,156341
Maine,0,41-50,162158
Maine,0,51-60,205755
Maine,0,61-70,192153
Maine,0,71+,166927
Maine,0,Total,1337036
Maine,1,10-Jan,75083
Maine,1,20-Nov,77957
Maine,1,21-30,78866
Maine,1,31-40,77234
Maine,1,41-50,79598
Maine,1,51-60,99860
Maine,1,61-70,92282
Maine,1,71+,73264
Maine,1,Total,654144
Maine,2,10-Jan,71112
Maine,2,20-Nov,73641
Maine,2,21-30,77043
Maine,2,31-40,79107
Maine,2,41-50,82560
Maine,2,51-60,105895
Maine,2,61-70,99871
Maine,2,71+,93663
Maine,2,Total,682892
Maryland,0,10-Jan,811458
Maryland,0,20-Nov,756545
Maryland,0,21-30,791054
Maryland,0,31-40,803206
Maryland,0,41-50,762161
Maryland,0,51-60,854025
Maryland,0,61-70,662442
Maryland,0,71+,567543
Maryland,0,Total,6008434
Maryland,1,10-Jan,414144
Maryland,1,20-Nov,385886
Maryland,1,21-30,394842
Maryland,1,31-40,390589
Maryland,1,41-50,365467
Maryland,1,51-60,408129
Maryland,1,61-70,306528
Maryland,1,71+,236086
Maryland,1,Total,2901671
Maryland,2,10-Jan,397314
Maryland,2,20-Nov,370659
Maryland,2,21-30,396212
Maryland,2,31-40,412617
Maryland,2,41-50,396694
Maryland,2,51-60,445896
Maryland,2,61-70,355914
Maryland,2,71+,331457
Maryland,2,Total,3106763
Massachusetts,0,10-Jan,806622
Massachusetts,0,20-Nov,871661
Massachusetts,0,21-30,996947
Massachusetts,0,31-40,904463
Massachusetts,0,41-50,852737
Massachusetts,0,51-60,974159
Massachusetts,0,61-70,786417
Massachusetts,0,71+,704206
Massachusetts,0,Total,6897212
Massachusetts,1,10-Jan,412311
Massachusetts,1,20-Nov,439205
Massachusetts,1,21-30,499732
Massachusetts,1,31-40,447651
Massachusetts,1,41-50,414209
Massachusetts,1,51-60,471916
Massachusetts,1,61-70,369919
Massachusetts,1,71+,291510
Massachusetts,1,Total,3346453
Massachusetts,2,10-Jan,394311
Massachusetts,2,20-Nov,432456
Massachusetts,2,21-30,497215
Massachusetts,2,31-40,456812
Massachusetts,2,41-50,438528
Massachusetts,2,51-60,502243
Massachusetts,2,61-70,416498
Massachusetts,2,71+,412696
Massachusetts,2,Total,3550759
Michigan,0,10-Jan,1280088
Michigan,0,20-Nov,1287001
Michigan,0,21-30,1376351
Michigan,0,31-40,1191469
Michigan,0,41-50,1203256
Michigan,0,51-60,1394973
Michigan,0,61-70,1217126
Michigan,0,71+,1041943
Michigan,0,Total,9992207
Michigan,1,10-Jan,654760
Michigan,1,20-Nov,657081
Michigan,1,21-30,703665
Michigan,1,31-40,595974
Michigan,1,41-50,595006
Michigan,1,51-60,684005
Michigan,1,61-70,581356
Michigan,1,71+,447109
Michigan,1,Total,4918956
Michigan,2,10-Jan,625328
Michigan,2,20-Nov,629920
Michigan,2,21-30,672686
Michigan,2,31-40,595495
Michigan,2,41-50,608250
Michigan,2,51-60,710968
Michigan,2,61-70,635770
Michigan,2,71+,594834
Michigan,2,Total,5073251
Minnesota,0,10-Jan,790057
Minnesota,0,20-Nov,724758
Minnesota,0,21-30,740032
Minnesota,0,31-40,761684
Minnesota,0,41-50,660805
Minnesota,0,51-60,758944
Minnesota,0,61-70,628632
Minnesota,0,71+,544129
Minnesota,0,Total,5609041
Minnesota,1,10-Jan,403973
Minnesota,1,20-Nov,368890
Minnesota,1,21-30,378317
Minnesota,1,31-40,386795
Minnesota,1,41-50,333975
Minnesota,1,51-60,377422
Minnesota,1,61-70,307634
Minnesota,1,71+,236016
Minnesota,1,Total,2793022
Minnesota,2,10-Jan,386084
Minnesota,2,20-Nov,355868
Minnesota,2,21-30,361715
Minnesota,2,31-40,374889
Minnesota,2,41-50,326830
Minnesota,2,51-60,381522
Minnesota,2,61-70,320998
Minnesota,2,71+,308113
Minnesota,2,Total,2816019
Mississippi,0,10-Jan,420310
Mississippi,0,20-Nov,410873
Mississippi,0,21-30,405126
Mississippi,0,31-40,369771
Mississippi,0,41-50,357842
Mississippi,0,51-60,385995
Mississippi,0,61-70,334879
Mississippi,0,71+,288224
Mississippi,0,Total,2973020
Mississippi,1,10-Jan,213665
Mississippi,1,20-Nov,209289
Mississippi,1,21-30,201267
Mississippi,1,31-40,179115
Mississippi,1,41-50,172085
Mississippi,1,51-60,184727
Mississippi,1,61-70,156406
Mississippi,1,71+,119851
Mississippi,1,Total,1436405
Mississippi,2,10-Jan,206645
Mississippi,2,20-Nov,201584
Mississippi,2,21-30,203859
Mississippi,2,31-40,190656
Mississippi,2,41-50,185757
Mississippi,2,51-60,201268
Mississippi,2,61-70,178473
Mississippi,2,71+,168373
Mississippi,2,Total,1536615
Missouri,0,10-Jan,829317
Missouri,0,20-Nov,779943
Missouri,0,21-30,826342
Missouri,0,31-40,781046
Missouri,0,41-50,717270
Missouri,0,51-60,824058
Missouri,0,61-70,708848
Missouri,0,71+,640821
Missouri,0,Total,6107645
Missouri,1,10-Jan,424488
Missouri,1,20-Nov,397771
Missouri,1,21-30,416579
Missouri,1,31-40,388446
Missouri,1,41-50,354139
Missouri,1,51-60,402329
Missouri,1,61-70,335518
Missouri,1,71+,272645
Missouri,1,Total,2991915
Missouri,2,10-Jan,404829
Missouri,2,20-Nov,382172
Missouri,2,21-30,409763
Missouri,2,31-40,392600
Missouri,2,41-50,363131
Missouri,2,51-60,421729
Missouri,2,61-70,373330
Missouri,2,71+,368176
Missouri,2,Total,3115730
Montana,0,10-Jan,139312
Montana,0,20-Nov,129499
Montana,0,21-30,140902
Montana,0,31-40,132359
Montana,0,41-50,116461
Montana,0,51-60,140022
Montana,0,61-70,142110
Montana,0,71+,118079
Montana,0,Total,1058744
Montana,1,10-Jan,71439
Montana,1,20-Nov,66928
Montana,1,21-30,72941
Montana,1,31-40,67697
Montana,1,41-50,58923
Montana,1,51-60,68867
Montana,1,61-70,70009
Montana,1,71+,55102
Montana,1,Total,531906
Montana,2,10-Jan,67873
Montana,2,20-Nov,62571
Montana,2,21-30,67961
Montana,2,31-40,64662
Montana,2,41-50,57538
Montana,2,51-60,71155
Montana,2,61-70,72101
Montana,2,71+,62977
Montana,2,Total,526838
Nebraska,0,10-Jan,292351
Nebraska,0,20-Nov,265535
Nebraska,0,21-30,259323
Nebraska,0,31-40,251808
Nebraska,0,41-50,217416
Nebraska,0,51-60,239496
Nebraska,0,61-70,209733
Nebraska,0,71+,186997
Nebraska,0,Total,1922659
Nebraska,1,10-Jan,149911
Nebraska,1,20-Nov,135562
Nebraska,1,21-30,132896
Nebraska,1,31-40,128183
Nebraska,1,41-50,109909
Nebraska,1,51-60,119319
Nebraska,1,61-70,101886
Nebraska,1,71+,80331
Nebraska,1,Total,957997
Nebraska,2,10-Jan,142440
Nebraska,2,20-Nov,129973
Nebraska,2,21-30,126427
Nebraska,2,31-40,123625
Nebraska,2,41-50,107507
Nebraska,2,51-60,120177
Nebraska,2,61-70,107847
Nebraska,2,71+,106666
Nebraska,2,Total,964662
Nevada,0,10-Jan,417922
Nevada,0,20-Nov,369692
Nevada,0,21-30,415854
Nevada,0,31-40,419912
Nevada,0,41-50,392163
Nevada,0,51-60,386918
Nevada,0,61-70,336245
Nevada,0,71+,284858
Nevada,0,Total,3023564
Nevada,1,10-Jan,213760
Nevada,1,20-Nov,189546
Nevada,1,21-30,210328
Nevada,1,31-40,212301
Nevada,1,41-50,197635
Nevada,1,51-60,194535
Nevada,1,61-70,161380
Nevada,1,71+,133262
Nevada,1,Total,1512747
Nevada,2,10-Jan,204162
Nevada,2,20-Nov,180146
Nevada,2,21-30,205526
Nevada,2,31-40,207611
Nevada,2,41-50,194528
Nevada,2,51-60,192383
Nevada,2,61-70,174865
Nevada,2,71+,151596
Nevada,2,Total,1510817
New Hampshire,0,10-Jan,147950
New Hampshire,0,20-Nov,165563
New Hampshire,0,21-30,172828
New Hampshire,0,31-40,160965
New Hampshire,0,41-50,167961
New Hampshire,0,51-60,214282
New Hampshire,0,61-70,178392
New Hampshire,0,71+,147210
New Hampshire,0,Total,1355151
New Hampshire,1,10-Jan,75977
New Hampshire,1,20-Nov,84066
New Hampshire,1,21-30,89588
New Hampshire,1,31-40,81198
New Hampshire,1,41-50,83144
New Hampshire,1,51-60,105417
New Hampshire,1,61-70,87116
New Hampshire,1,71+,64613
New Hampshire,1,Total,671119
New Hampshire,2,10-Jan,71973
New Hampshire,2,20-Nov,81497
New Hampshire,2,21-30,83240
New Hampshire,2,31-40,79767
New Hampshire,2,41-50,84817
New Hampshire,2,51-60,108865
New Hampshire,2,61-70,91276
New Hampshire,2,71+,82597
New Hampshire,2,Total,684032
New Jersey,0,10-Jan,1162270
New Jersey,0,20-Nov,1110643
New Jersey,0,21-30,1138368
New Jersey,0,31-40,1149968
New Jersey,0,41-50,1168288
New Jersey,0,51-60,1281802
New Jersey,0,61-70,984090
New Jersey,0,71+,903723
New Jersey,0,Total,8899152
New Jersey,1,10-Jan,593308
New Jersey,1,20-Nov,567430
New Jersey,1,21-30,579179
New Jersey,1,31-40,573705
